"Message ID","Receiver's Name","Receiver's Phone Number","Sender's Name","Sender's Phone Number",Message,"Date Sent","Time Sent"
334,dfsd,0922,Jojie,09066040569,"You might have to reload the page to see the value of the cookie.",2018-01-08,17:43:29
335,dfsd,0922,Jojie,09066040569,Heyyy,2018-01-08,17:43:41
336,Jojie,09066040569,dfsd,0922,"The strtoupper() function converts a string to uppercase.",2018-01-08,17:44:01
338,Albert,09123456789,Jojie,09066040569,banana,2018-01-09,10:33:19
339,dfsd,0922,Jojie,09066040569,"bidu biduuu",2018-01-09,10:35:06
340,dfsd,0922,Jojie,09066040569,qweqwe,2018-01-09,10:54:29
341,Jojie,09066040569,dfsd,0922,heyyy,2018-01-09,10:54:51
342,Jojie,09066040569,dfsd,0922,huy,2018-01-09,10:55:51
343,Jojie,09066040569,dfsd,0922,dada,2018-01-09,10:56:23
344,dfsd,0922,Jojie,09066040569,"Uy hello",2018-01-09,10:58:19
345,dfsd,0922,Jojie,09066040569,try,2018-01-09,11:05:58
349,Jojie,09066040569,dfsd,0922,"hey hey hey",2018-01-09,11:26:15
350,dfsd,0922,Jojie,09066040569,huehue,2018-01-09,11:36:22
351,dfsd,0922,Jojie,09066040569,"You know you are very new to a language when you look for ways to alert/log variables :) (happens that I came to search for this answer too)",2018-01-09,11:37:30
352,dfsd,0922,Jojie,09066040569,"You know you are very new to a language when you look for ways to alert/log variables :) (happens that I came to search for this answer too)",2018-01-09,11:37:33
353,dfsd,0922,Jojie,09066040569,"Be back laterrr",2018-01-09,12:37:58
354,dfsd,0922,Jojie,09066040569,heyyy,2018-01-10,10:02:58
355,Jojie,09066040569,dfsd,0922,heyyy,2018-01-10,10:08:06
357,Jojie,09066040569,dfsd,0922,heyyy,2018-01-10,10:24:31
358,Juan,09066040321,Jojie,09066040569,asdfsdf,2018-01-10,10:32:55
359,Juan,09066040321,Jojie,09066040569,adfsdffdf,2018-01-10,10:34:23
360,dfsd,0922,Jojie,09066040569,fsdfsdff,2018-01-10,10:35:39
361,Juan,09066040321,Jojie,09066040569,sfsffgfd,2018-01-10,10:39:52
362,dfsd,0922,Jojie,09066040569,dsdfsfdd,2018-01-10,10:39:59
363,dfsd,0922,Jojie,09066040569,gg,2018-01-10,10:51:24
364,Jojie,09066040569,dfsd,0922,sfddfvdfv,2018-01-10,10:51:54
365,dfsd,0922,Jojie,09066040569,freedom,2018-01-10,10:55:35
366,Jojie,09066040569,dfsd,0922,dubaduba,2018-01-10,11:06:14
367,Jojie,09066040569,dfsd,0922,heyyyyyyyyy,2018-01-10,11:06:48
368,dfsd,0922,Jojie,09066040569,"huyyyy why u not gana properly",2018-01-10,11:08:45
369,Jojie,09066040569,dfsd,0922,whyyyy,2018-01-10,11:20:01
370,Jojie,09066040569,dfsd,0922,jsdjfsdhfhdsf,2018-01-10,11:21:58
371,Jojie,09066040569,dfsd,0922,fsdfsdf,2018-01-10,11:22:40
372,Jojie,09066040569,dfsd,0922,"eyyyy pls",2018-01-10,11:26:03
373,Jojie,09066040569,dfsd,0922,dasdsdsd,2018-01-10,12:17:10
374,Jojie,09066040569,dfsd,0922,qqqqqqqqqqqq,2018-01-10,12:18:55
375,Jojie,09066040569,Albert,09123456789,pineapple,2018-01-10,12:20:25
376,Jojie,09066040569,dfsd,0922,wwwwwwwwwww,2018-01-10,12:20:47
377,dfsd,0922,Jojie,09066040569,Heyy,2018-01-11,08:48:24
378,Jojie,09066040569,dfsd,0922,"saw you yesterday",2018-01-11,08:48:49
379,dfsd,0922,Jojie,09066040569,"yeah me too",2018-01-11,08:49:12
380,Albert,09123456789,Jojie,09066040569,"orange and mango?",2018-01-11,08:49:46
381,Albert,09123456789,dfsd,0922,busy?,2018-01-11,08:50:18
382,Albert,09123456789,Juan,09066040321,strawberry,2018-01-11,09:04:00
383,Albert,09123456789,Juan,09066040321,strawberry,2018-01-11,09:04:06
384,Albert,09123456789,Juan,09066040321,strawberry,2018-01-11,09:04:08
385,Jojie,09066040569,Albert,09123456789,"havana banana",2018-01-11,10:46:55
